"DateTime","Active market wallets","Sales USD"
"2024-02-29 00:00:00",1969,10619689.89
"2024-03-01 00:00:00",1886,6932569.32
"2024-03-02 00:00:00",1866,6295207.39
"2024-03-03 00:00:00",2028,13053197.03
"2024-03-04 00:00:00",1987,13344734.78
"2024-03-05 00:00:00",2015,16323282.47
"2024-03-06 00:00:00",2076,16799601.39
"2024-03-07 00:00:00",1971,14903470.61
"2024-03-08 00:00:00",2036,19976859.9
"2024-03-09 00:00:00",1664,10546010.11
"2024-03-10 00:00:00",1578,7423435.83
"2024-03-11 00:00:00",1664,11222710.44
"2024-03-12 00:00:00",1794,13933947.06
"2024-03-13 00:00:00",1769,13166421.11
"2024-03-14 00:00:00",1667,10472517.92
"2024-03-15 00:00:00",1799,7318553.58
"2024-03-16 00:00:00",2379,15162173.69
"2024-03-17 00:00:00",2145,11801111.75
"2024-03-18 00:00:00",1768,7587508.01
"2024-03-19 00:00:00",1575,7845747.35
"2024-03-20 00:00:00",1989,30340008.53
"2024-03-21 00:00:00",2070,12303055.86
"2024-03-22 00:00:00",2354,8586973.75
"2024-03-23 00:00:00",2157,5477344.8
"2024-03-24 00:00:00",2123,5983510.3
"2024-03-25 00:00:00",1984,8552803.62
"2024-03-26 00:00:00",1755,7376274.11
"2024-03-27 00:00:00",1595,8001411.55
"2024-03-28 00:00:00",1598,7849606
"2024-03-29 00:00:00",2052,6220565.41
"2024-03-30 00:00:00",2261,6321988.58
"2024-03-31 00:00:00",2191,7115832.92
"2024-04-01 00:00:00",2182,6548425.02
"2024-04-02 00:00:00",1548,45520379.79
"2024-04-03 00:00:00",1614,8453167.13
"2024-04-04 00:00:00",2100,13305443.19
"2024-04-05 00:00:00",2154,7201689.31
"2024-04-06 00:00:00",2266,7209694.49
"2024-04-07 00:00:00",2061,31056730.44
"2024-04-08 00:00:00",2115,7318479.33
"2024-04-09 00:00:00",1677,24269541.79
"2024-04-10 00:00:00",1883,8687002.73
"2024-04-11 00:00:00",1995,5777834.89
"2024-04-12 00:00:00",1715,8804410.54
"2024-04-13 00:00:00",1830,5874716.13
"2024-04-14 00:00:00",2393,9083402.66
"2024-04-15 00:00:00",2168,7936378.04
"2024-04-16 00:00:00",2267,5761699.38
"2024-04-17 00:00:00",1858,7833735.43
"2024-04-18 00:00:00",1936,8198053.53
"2024-04-19 00:00:00",1885,8246472.01
"2024-04-20 00:00:00",2380,7190581.46
"2024-04-21 00:00:00",2268,5911310.82
"2024-04-22 00:00:00",1992,6012597.77
"2024-04-23 00:00:00",2077,7636368.77
"2024-04-24 00:00:00",1931,6011839.78
"2024-04-25 00:00:00",2243,26463239.45
"2024-04-26 00:00:00",2433,11208696.27
"2024-04-27 00:00:00",2249,4701720.11
"2024-04-28 00:00:00",2161,3806795.82
"2024-04-29 00:00:00",1899,5873974.56
"2024-04-30 00:00:00",1825,6931951.19
"2024-05-01 00:00:00",1502,4805929.74
"2024-05-02 00:00:00",1865,8281770.83
"2024-05-03 00:00:00",1878,4821588.18
"2024-05-04 00:00:00",1620,4452380.68
"2024-05-05 00:00:00",1737,5131193.28
"2024-05-06 00:00:00",1668,4321038.99
"2024-05-07 00:00:00",1689,6715294.33
"2024-05-08 00:00:00",1847,5668558.52
"2024-05-09 00:00:00",1752,4031532.43
"2024-05-10 00:00:00",1705,5330601.46
"2024-05-11 00:00:00",1451,2810445.43
"2024-05-12 00:00:00",1834,4732883.61
"2024-05-13 00:00:00",1538,8209968.81
"2024-05-14 00:00:00",1680,5518287.12
"2024-05-15 00:00:00",1591,5182206.28
"2024-05-16 00:00:00",1621,4672552.14
"2024-05-17 00:00:00",1458,5117862.72
"2024-05-18 00:00:00",1356,2751381.47
"2024-05-19 00:00:00",1362,3100355.51
"2024-05-20 00:00:00",1464,5711339.41
"2024-05-21 00:00:00",1539,5186825.17
"2024-05-22 00:00:00",1330,3674413.82
"2024-05-23 00:00:00",1292,3726252.97
"2024-05-24 00:00:00",1412,5381042.21
"2024-05-25 00:00:00",1294,3928596.21
"2024-05-26 00:00:00",1352,2739134.77
"2024-05-27 00:00:00",1069,4322788.26
"2024-05-28 00:00:00",1111,3586431.99
"2024-05-29 00:00:00",1188,2630195.55
"2024-05-30 00:00:00",1124,2702211.73
"2024-05-31 00:00:00",1167,4150209.45
"2024-06-01 00:00:00",1281,3200737.93
"2024-06-02 00:00:00",1307,3478860.03
"2024-06-03 00:00:00",1095,2306558
"2024-06-04 00:00:00",1230,2742502.1
"2024-06-05 00:00:00",1032,2923224.12
"2024-06-06 00:00:00",1014,2074462.24
"2024-06-07 00:00:00",1165,3151858.74
"2024-06-08 00:00:00",1317,2824260.98
"2024-06-09 00:00:00",1281,1566172.51
"2024-06-10 00:00:00",1304,6628844.57
"2024-06-11 00:00:00",1092,3447993.31
"2024-06-12 00:00:00",1256,4749045.52
"2024-06-13 00:00:00",1211,4325553.25
"2024-06-14 00:00:00",1142,3787896.61
"2024-06-15 00:00:00",1290,2326071.19
"2024-06-16 00:00:00",1272,2209303.34
"2024-06-17 00:00:00",1138,4866942.66
"2024-06-18 00:00:00",1372,5799268.08
"2024-06-19 00:00:00",1328,5356527.73
"2024-06-20 00:00:00",1418,8943208.83
"2024-06-21 00:00:00",1266,4093122.72
"2024-06-22 00:00:00",1404,3794105.99
"2024-06-23 00:00:00",1243,2849439.44
"2024-06-24 00:00:00",1154,2801832.96
"2024-06-25 00:00:00",1200,4646220.04
"2024-06-26 00:00:00",1235,3034075.34
"2024-06-27 00:00:00",1030,2851574.69
"2024-06-28 00:00:00",1551,8719152.5
"2024-06-29 00:00:00",1369,3161655.89
"2024-06-30 00:00:00",1248,2603587.49
"2024-07-01 00:00:00",1134,2835630.52
"2024-07-02 00:00:00",1270,4091150.51
"2024-07-03 00:00:00",1005,2383421.68
"2024-07-04 00:00:00",955,2475838.45
"2024-07-05 00:00:00",1036,3578953.86
"2024-07-06 00:00:00",944,2101599.85
"2024-07-07 00:00:00",962,1462846.46
"2024-07-08 00:00:00",1012,2996827.79
"2024-07-09 00:00:00",1102,1884125.47
"2024-07-10 00:00:00",1112,2676036.37
"2024-07-11 00:00:00",1001,1591621.01
"2024-07-12 00:00:00",1126,5358268.06
"2024-07-13 00:00:00",1096,3040260.12
"2024-07-14 00:00:00",1015,4891206.14
"2024-07-15 00:00:00",999,2008911.9
"2024-07-16 00:00:00",928,2815549.63
"2024-07-17 00:00:00",980,2454542.98
"2024-07-18 00:00:00",942,2594695.46
"2024-07-19 00:00:00",981,2968794.34
"2024-07-20 00:00:00",935,1381878.68
"2024-07-21 00:00:00",961,1559303.4
"2024-07-22 00:00:00",959,1964804.45
"2024-07-23 00:00:00",1062,2225397.77
"2024-07-24 00:00:00",909,1868354.89
"2024-07-25 00:00:00",969,1750095.45
"2024-07-26 00:00:00",1242,2217233.86
"2024-07-27 00:00:00",958,1268405.26
"2024-07-28 00:00:00",912,1868109.73
"2024-07-29 00:00:00",999,2225929.3
"2024-07-30 00:00:00",778,1779875.32
"2024-07-31 00:00:00",1064,4172289.44
"2024-08-01 00:00:00",924,2063472.04
"2024-08-02 00:00:00",1114,2792390.3
"2024-08-03 00:00:00",1071,2957532.99
"2024-08-04 00:00:00",1078,2752880.96
"2024-08-05 00:00:00",1223,7077678.55
"2024-08-06 00:00:00",1180,4052435.99
"2024-08-07 00:00:00",1227,3564931.44
"2024-08-08 00:00:00",1099,2658183.59
"2024-08-09 00:00:00",1015,1707456.05
"2024-08-10 00:00:00",1022,1909887.46
"2024-08-11 00:00:00",970,1650764.18
"2024-08-12 00:00:00",1081,2185877.22
"2024-08-13 00:00:00",1426,4667073.17
"2024-08-14 00:00:00",1626,4015296.58
"2024-08-15 00:00:00",1474,4610837.83
"2024-08-16 00:00:00",1513,3074297.09
"2024-08-17 00:00:00",1377,1876664.93
"2024-08-18 00:00:00",1378,3159541.22
"2024-08-19 00:00:00",1194,2486680.54
"2024-08-20 00:00:00",1290,6596652.03
"2024-08-21 00:00:00",1827,7373920.57
"2024-08-22 00:00:00",1520,3475283.11
"2024-08-23 00:00:00",1455,5095173.08
"2024-08-24 00:00:00",1445,3600736.74
"2024-08-25 00:00:00",1306,2696537.81
"2024-08-26 00:00:00",1218,3489095.94
"2024-08-27 00:00:00",1275,3560436.15
"2024-08-28 00:00:00",1215,2718897.04
"2024-08-29 00:00:00",1253,3498334.97
"2024-08-30 00:00:00",1261,3162160.03
"2024-08-31 00:00:00",1215,1931586.34
"2024-09-01 00:00:00",1027,1629115.81
"2024-09-02 00:00:00",1005,3836675.19
"2024-09-03 00:00:00",1134,1500461.49
"2024-09-04 00:00:00",976,2138682.05
"2024-09-05 00:00:00",1163,2237075.6
"2024-09-06 00:00:00",1013,3650895.85
"2024-09-07 00:00:00",1115,3863968.37
"2024-09-08 00:00:00",1127,2108753.13
"2024-09-09 00:00:00",1117,6967257
"2024-09-10 00:00:00",1259,4768382.78
"2024-09-11 00:00:00",1354,2679447.15
"2024-09-12 00:00:00",1094,3836961.38
"2024-09-13 00:00:00",1314,3933576.35
"2024-09-14 00:00:00",1264,2097698.7
"2024-09-15 00:00:00",1235,1409262.04
"2024-09-16 00:00:00",1035,2276596.79
"2024-09-17 00:00:00",1059,2411995.93
"2024-09-18 00:00:00",880,1735334.19
"2024-09-19 00:00:00",847,3346827.63
"2024-09-20 00:00:00",897,3671211.97
"2024-09-21 00:00:00",941,2650450.49
"2024-09-22 00:00:00",896,1382433.09
"2024-09-23 00:00:00",731,2262875.89
"2024-09-24 00:00:00",869,3275120.88
"2024-09-25 00:00:00",900,2231640.36
"2024-09-26 00:00:00",939,3700367.08
"2024-09-27 00:00:00",1045,3365371.05
"2024-09-28 00:00:00",1257,2472577.31
"2024-09-29 00:00:00",1157,2730931.37
"2024-09-30 00:00:00",1080,2274560.11
"2024-10-01 00:00:00",937,3101157.8
"2024-10-02 00:00:00",1140,2161983.52
"2024-10-03 00:00:00",1161,3522864.27
"2024-10-04 00:00:00",1184,2736959.36
"2024-10-05 00:00:00",1077,1874272.64
"2024-10-06 00:00:00",970,2300037.19
"2024-10-07 00:00:00",926,2484764.04
"2024-10-08 00:00:00",851,2229745.22
"2024-10-09 00:00:00",975,5253088.25
"2024-10-10 00:00:00",935,1879584.58
"2024-10-11 00:00:00",910,1574025.79
"2024-10-12 00:00:00",1249,5309526.42
"2024-10-13 00:00:00",973,2185854.68
"2024-10-14 00:00:00",1055,2753637.92
"2024-10-15 00:00:00",974,2852961.34
"2024-10-16 00:00:00",1063,2766392.63
"2024-10-17 00:00:00",949,2920740.12
"2024-10-18 00:00:00",888,2904884.71
"2024-10-19 00:00:00",996,2083912.14
"2024-10-20 00:00:00",1479,7625266.75
"2024-10-21 00:00:00",1189,3337219.95
"2024-10-22 00:00:00",988,2169499.15
"2024-10-23 00:00:00",978,3083032.86
"2024-10-24 00:00:00",890,1752065.5
"2024-10-25 00:00:00",1025,2146345.91
"2024-10-26 00:00:00",1103,1010332.5
"2024-10-27 00:00:00",994,1628258.7
"2024-10-28 00:00:00",868,1653289.36
"2024-10-29 00:00:00",1042,3167106.27
"2024-10-30 00:00:00",883,1815795.17
"2024-10-31 00:00:00",843,2227172.42
"2024-11-01 00:00:00",876,1842967.07
"2024-11-02 00:00:00",933,1395055.9
"2024-11-03 00:00:00",785,1180835.27
"2024-11-04 00:00:00",775,1060406.12
"2024-11-05 00:00:00",840,2301192.7
"2024-11-06 00:00:00",826,2777247.87
"2024-11-07 00:00:00",890,2561927.22
"2024-11-08 00:00:00",1051,3626441.72
"2024-11-09 00:00:00",1106,3726938.19
"2024-11-10 00:00:00",930,2563400.92
"2024-11-11 00:00:00",1196,7356971.49
"2024-11-12 00:00:00",1722,8821526.2
"2024-11-13 00:00:00",1284,7723828.81
"2024-11-14 00:00:00",1294,9129684.54
"2024-11-15 00:00:00",1513,17784533.96
"2024-11-16 00:00:00",1643,6629501.39
"2024-11-17 00:00:00",1441,4602768.97
"2024-11-18 00:00:00",1305,5561227.19
"2024-11-19 00:00:00",1341,6457023.15
"2024-11-20 00:00:00",1262,4867295.26
"2024-11-21 00:00:00",1138,6870249.89
"2024-11-22 00:00:00",1342,8387303.25
"2024-11-23 00:00:00",1175,4008066.18
"2024-11-24 00:00:00",1309,3370938.15
"2024-11-25 00:00:00",1132,3733956.8
"2024-11-26 00:00:00",1113,2298009.91
"2024-11-27 00:00:00",1335,6947048.46
"2024-11-28 00:00:00",1680,10652761.47
"2024-11-29 00:00:00",1507,6665628.93
"2024-11-30 00:00:00",3074,23396146.83
"2024-12-01 00:00:00",5454,30672849.54
"2024-12-02 00:00:00",3342,17576513.82
"2024-12-03 00:00:00",2368,12976992.24
"2024-12-04 00:00:00",2164,10649190.3
"2024-12-05 00:00:00",2005,7968646.84
"2024-12-06 00:00:00",2745,24754591.26
"2024-12-07 00:00:00",2042,10021599.85
"2024-12-08 00:00:00",2475,14176724.93
"2024-12-09 00:00:00",1835,12591677.14
"2024-12-10 00:00:00",1713,11141914.41
"2024-12-11 00:00:00",2513,22604876.43
"2024-12-12 00:00:00",3111,20084348.15
"2024-12-13 00:00:00",2479,12012057.01
"2024-12-14 00:00:00",3102,14065281.26
"2024-12-15 00:00:00",4123,35546026.47
"2024-12-16 00:00:00",6504,37718961.94
"2024-12-17 00:00:00",4821,60568038.25
"2024-12-18 00:00:00",3318,20988329.46
"2024-12-19 00:00:00",3877,25099003.1
"2024-12-20 00:00:00",4489,18151372.5
"2024-12-21 00:00:00",3297,14418029.29
"2024-12-22 00:00:00",2729,6083552.26
"2024-12-23 00:00:00",2408,6466087.56
"2024-12-24 00:00:00",2331,9752911.83
"2024-12-25 00:00:00",2019,10287247.24
"2024-12-26 00:00:00",2033,9866122.97
"2024-12-27 00:00:00",2014,6636514.58
"2024-12-28 00:00:00",2008,6066594.67
"2024-12-29 00:00:00",2319,6665957.74
"2024-12-30 00:00:00",2516,5665090.21
"2024-12-31 00:00:00",2591,6245710.53
"2025-01-01 00:00:00",1763,5533457.95
"2025-01-02 00:00:00",1551,6212616.78
"2025-01-03 00:00:00",1869,5673205.76
"2025-01-04 00:00:00",1576,4752212.98
"2025-01-05 00:00:00",1767,5437370.87
"2025-01-06 00:00:00",1787,9176184.68
"2025-01-07 00:00:00",1845,10425709.48
"2025-01-08 00:00:00",1470,6282613.96
"2025-01-09 00:00:00",1377,5066010.01
"2025-01-10 00:00:00",1507,4582102.1
"2025-01-11 00:00:00",1506,2783200.79
"2025-01-12 00:00:00",1679,3706605.06
"2025-01-13 00:00:00",2098,16219622.32
"2025-01-14 00:00:00",1654,11774533.24
"2025-01-15 00:00:00",1636,8584729.23
"2025-01-16 00:00:00",1503,7840008.34
"2025-01-17 00:00:00",1603,6419711.79
"2025-01-18 00:00:00",1874,13790854.53
"2025-01-19 00:00:00",1548,14743440.94
"2025-01-20 00:00:00",1374,11124392.18
"2025-01-21 00:00:00",1783,10118591.26
"2025-01-22 00:00:00",2147,21697645.59
"2025-01-23 00:00:00",3189,35258700.17
"2025-01-24 00:00:00",2022,12631942.89
"2025-01-25 00:00:00",1872,12901405.72
"2025-01-26 00:00:00",1715,7173839.84
"2025-01-27 00:00:00",1534,7633602.93
"2025-01-28 00:00:00",1914,8843954.24
"2025-01-29 00:00:00",1889,9458297.68
"2025-01-30 00:00:00",1782,6225146.33
"2025-01-31 00:00:00",1954,7837582.96
"2025-02-01 00:00:00",1696,5313147.59
"2025-02-02 00:00:00",1648,48996903.17
"2025-02-03 00:00:00",1997,13569943.21
"2025-02-04 00:00:00",1757,8290712.74
"2025-02-05 00:00:00",1627,5299620.31
"2025-02-06 00:00:00",1693,10503017.86
"2025-02-07 00:00:00",1672,6842719.7
"2025-02-08 00:00:00",1851,5949837.53
"2025-02-09 00:00:00",1610,4807818.79
"2025-02-10 00:00:00",1468,5069182.71
"2025-02-11 00:00:00",1446,4559090.39
"2025-02-12 00:00:00",1934,8535951.58
"2025-02-13 00:00:00",2436,16171580.69
"2025-02-14 00:00:00",2648,24309066.39
"2025-02-15 00:00:00",2464,21681532.87
"2025-02-16 00:00:00",2519,23523464.75
"2025-02-17 00:00:00",2311,28121382.29
"2025-02-18 00:00:00",2701,15438761.97
"2025-02-19 00:00:00",1556,3962699.44
"2025-02-20 00:00:00",1524,3097003.57
"2025-02-21 00:00:00",1587,4047217.43
"2025-02-22 00:00:00",1425,2691805.36
"2025-02-23 00:00:00",1370,3091241.84
"2025-02-24 00:00:00",1369,3360970.65
"2025-02-25 00:00:00",1496,3734115.27
"2025-02-26 00:00:00",1575,4257091.6
"2025-02-27 10:31:25",1500,4037108.16